spot_name,availability,lat,lon
"ABBEY STREET LOWER - Permanent TSB, 1 Abbey Street Lower",0,53.7558199999999,-6.20972666666666
"ADELAIDE ROAD - Dept. of Environment, Climate and Communications, 29-31 Adelaide Road.",1,53.5755,-6.18999999999999
AILESBURY CLOSE - Church of the Sacred Heart,1,53.4343,-6.07539999999999
AILESBURY CLOSE - Church of the Sacred Heart,5,53.43463,-6.07573333333333
ANGLESEA ROAD - Pembroke Library,1,53.5351999999999,-6.07933333333333
"ANNE STREET SOUTH - Sheridans, 11 Anne Street South",4,53.67295,-6.20836666666666
ARBOUR HILL - Arbour Hill Prison,4,53.76305,-6.34027999999999
ARD RIGH ROAD - Irish United Nations Veteran's Association Memorial,0,53.7808499999999,-6.32966666666666
ARMAGH ROAD - Scoil ÃÅ¡na Naofa,3,53.4357,-6.41639999999999
"ASTON QUAY - Opposite Supervalu, 14-18 Aston Quay",4,53.73464,-6.21553999999999
"BACHELORS WALK - Sugar Sisters, 3/4 Bachelors Walk",4,53.73564,-6.22522
"BAGGOT STREET LOWER - International Organisation for Migration, 116 Baggot Street Lower",4,53.6288199999999,-6.16584666666666
"BAGGOT STREET UPPER - Rocket's Diner, 33 Baggot Street Upper",5,53.5881,-6.13813333333333
"BAGGOT STREET UPPER - Rocket's Diner, 33 Baggot Street Upper",0,53.5884,-6.13846666666666
BAGGOT STREET UPPER - Former Royal City of Dublin Hospital,2,53.59209,-6.14019999999999
BAGGOT STREET UPPER - Former Royal City of Dublin Hospital,4,53.5924,-6.14053333333333
"BARROW STREET - Tots & Co Creche, 8 Barrow Street",5,53.6703,-6.10666666666666
BASIN VIEW - Canal Way Educate Together National School,0,53.65514,-6.34349333333333
"BATH STREET - Canton House Takeaway, 2 Bath Street",1,53.66453,-6.04897999999999
BEECHWOOD AVENUE LOWER - Opposite Ulster Bank,4,53.4888199999999,-6.18017999999999
BEECHWOOD AVENUE LOWER - Opposite Ulster Bank,0,53.48845,-6.18031333333333
"BENSON STREET - Spaces, Block C, Butlers Court",3,53.72328,-6.09397333333333
"BENSON STREET - Spaces, Block C, Butlers Court",5,53.7238099999999,-6.09393333333333
BISHOP STREET - Opposite The National Archives,4,53.6415499999999,-6.23936666666666
BISHOP STREET - Junction with Aungier Street,1,53.6411199999999,-6.25045333333333
"BLACKPITTS - Diatec Digital, 1 Blackpitts",2,53.6235499999999,-6.27777333333333
BOW LANE EAST - Beaux Lane House,0,53.65884,-6.23107999999999
BOW STREET - Jameson Distillery,4,53.7492199999999,-6.28734666666666
BULFIN ROAD - St. Michael's Church,0,53.6504699999999,-6.45839999999999
BULFIN ROAD - St. Michael's Church,5,53.65099,-6.45854666666666
BURGH QUAY - Adjacent Rosie Hackett Bridge,4,53.7425499999999,-6.20309333333333
BURLINGTON ROAD - Opposite Mespil Hotel,3,53.5873,-6.15379999999999
BURLINGTON ROAD - Opposite 30 Burlington Road,4,53.5543,-6.15486666666666
BURLINGTON ROAD - Adjacent to Mespil Hotel,1,53.5843,-6.15216666666666
BURLINGTON ROAD - Junction with Waterloo Road,0,53.5667,-6.14113333333333
"CAPEL STREET - Sweetastes, 132 Capel Street",2,53.7512099999999,-6.25201333333333
"CAPEL STREET - Gateway House, 133 Capel street",1,53.75069,-6.25192
CAPEL STREET - Junction with Little Britain Street,0,53.7649699999999,-6.25386666666666
CARDIFF LANE - Clayton Hotel,3,53.7215999999999,-6.12707333333333
CARDIFF LANE - Clayton Hotel,5,53.7221999999999,-6.12706
CASTLE STREET - Dublin Castle Entrance Gate,4,53.70099,-6.24687333333333
CASTLE STREET - Dublin Castle Entrance Gate,5,53.7012499999999,-6.24661333333333
"CASTLE STREET - Opposite Bottega Toffoli Restaurant, 34 Castle Street",1,53.6962699999999,-6.25346666666666
CATHAL BRUGHA STREET - Holiday Inn Express,1,53.7951399999999,-6.21676666666666
CATHAL BRUGHA STREET - Findlater Place,0,53.7958999999999,-6.21547333333333
CATHEDRAL STREET - Burger King,0,53.7771,-6.21386666666666
CATHEDRAL STREET - Central Revenue Information Office,2,53.7773,-6.21353333333333
CHARLEVILLE ROAD - Adjacent 20 Charleville Road,3,53.46088,-6.25271333333333
CHURCH ROAD - East Wall Health Centre,2,53.7985,-6.10919999999999
CLANBRASSIL STREET LOWER - Mace Supermarket,3,53.5928,-6.27713333333333
"CLARENDON STREET - Coco Boutique, 40 Clarendon Street",1,53.67788,-6.22007999999999
CLARENDON STREET - Rear of Westbury Hotel,5,53.67339,-6.22127999999999
CLAREVILLE ROAD - Harold's Cross National School,0,53.4083,-6.32696666666666
CLOGHER ROAD - Marist Primary School,3,53.50313,-6.35884666666666
CLONMEL STREET - Dept. of Foreign Affairs and Trade,4,53.61638,-6.22240666666666
CLONMEL STREET - Dept. of Foreign Affairs and Trade,3,53.6163599999999,-6.22210666666666
CLONMEL STREET - Dept. of Foreign Affairs and Trade,0,53.61634,-6.22181333333333
CLONMEL STREET - Dept. of Foreign Affairs and Trade,0,53.6163199999999,-6.22151333333333
CLYDE ROAD - 24 Clyde Road,0,53.53686,-6.11839999999999
"CLYDE ROAD - National Disability Authority, 25 Clyde Road",2,53.5366099999999,-6.11872
CLYDE ROAD - 26 Clyde Road,0,53.5359,-6.11963999999999
"COLERAINE STREET - Carmichael Centre, 49 Coleraine Street",0,53.78758,-6.27309333333333
"COLERAINE STREET - Carmichael Centre, 49 Coleraine Street",3,53.78813,-6.27312666666666
"CORNMARKET - MRCB Paints & Papers, 12 Cornmarket",4,53.69488,-6.2824
COWPER ROAD - Opposite 43 Cowper Road,0,53.3970099999999,-6.18886666666666
COWPER ROAD - The Mageough,3,53.39774,-6.18280666666666
COWPER ROAD - The Mageough,3,53.39778,-6.18252666666666
CUFFE LANE - Junction with Cuffe Street,2,53.6356,-6.22800666666666
CUFFE LANE - Junction with Cuffe Street,2,53.6361,-6.22802
"D'OLIER STREET - Kohinoor Beauty, 8 Dolier Street",4,53.73233,-6.20508666666666
"D'OLIER STREET - Platinum, 9 Dolier Street",4,53.73188,-6.2048
