spot_name,lat,lon,date,time,availability
Liberty Park,53.344147,-6.276515,2025-08-06,18:00,0
Liberty Park,53.344056,-6.275642,2025-08-06,07:00,0
Pearse Station,53.342934,-6.251064,2025-08-06,20:00,0
Pearse Station,53.342788,-6.250629,2025-08-01,19:00,1
Dawson Street,53.340111,-6.258495,2025-08-01,14:00,1
Pearse Station,53.342758,-6.250833,2025-08-06,18:00,1
Jervis Street,53.347434,-6.264737,2025-08-02,16:00,1
Custom House,53.348516,-6.245893,2025-08-05,09:00,0
Ormond Quay,53.347104,-6.26729,2025-08-03,20:00,0
St. Stephen's Green,53.337603,-6.259437,2025-08-02,15:00,0
Dawson Street,53.339763,-6.258399,2025-08-04,18:00,0
Dawson Street,53.339968,-6.258082,2025-08-01,22:00,1
Parnell Carpark,53.35226,-6.262986,2025-08-07,22:00,0
Jervis Street,53.347704,-6.264089,2025-08-01,10:00,1
Parnell Carpark,53.351841,-6.263356,2025-08-05,07:00,0
Dawson Street,53.340429,-6.258271,2025-08-06,09:00,0
St. Stephen's Green,53.337952,-6.25886,2025-08-04,08:00,1
Jervis Street,53.347779,-6.264141,2025-08-02,20:00,0
Pearse Station,53.342662,-6.250881,2025-08-06,15:00,0
Parnell Carpark,53.351765,-6.26298,2025-08-05,08:00,0
Dawson Street,53.340185,-6.258528,2025-08-03,22:00,1
Pearse Station,53.34252,-6.250368,2025-08-03,13:00,1
Parnell Carpark,53.351777,-6.263082,2025-08-02,17:00,0
St. Stephen's Green,53.337107,-6.258899,2025-08-01,21:00,0
Camden Lane,53.331914,-6.265165,2025-08-04,14:00,1
Parnell Carpark,53.351826,-6.263239,2025-08-04,20:00,0
Ormond Quay,53.346733,-6.2667,2025-08-03,07:00,1
Custom House,53.348142,-6.246038,2025-08-03,22:00,1
Jervis Street,53.347983,-6.264897,2025-08-03,13:00,0
Custom House,53.34845,-6.246052,2025-08-02,21:00,1
Parnell Carpark,53.352453,-6.263244,2025-08-02,07:00,1
Heuston Square,53.346303,-6.291686,2025-08-04,14:00,0
St. Stephen's Green,53.337944,-6.259526,2025-08-07,17:00,1
Jervis Street,53.347957,-6.264596,2025-08-02,14:00,0
