spot_name,availability,lat,lon
"ABBEY STREET LOWER - Permanent TSB, 1 Abbey Street Lower",0,53.7558199999999,-6.20972666666666
"ADELAIDE ROAD - Dept. of Environment, Climate and Communications, 29-31 Adelaide Road.",1,53.5755,-6.18999999999999
AILESBURY CLOSE - Church of the Sacred Heart,1,53.4343,-6.07539999999999
AILESBURY CLOSE - Church of the Sacred Heart,5,53.43463,-6.07573333333333
ALBERT COLLEGE DRIVE - Albert College Court,1,54.1851,-6.23913333333333
ALBERT COLLEGE DRIVE - Albert College Court,0,54.1851199999999,-6.24067999999999
ALL SAINTS DRIVE - Scoil Ãine,5,54.1053999999999,-5.85393333333333
ALL SAINTS DRIVE - Scoil Ãine,4,54.10335,-5.85509999999999
ALL SAINTS DRIVE - NaÃ­scoil Ãde,5,54.1012999999999,-5.85653333333333
ALL SAINTS DRIVE - NaÃ­scoil Ãde,2,54.1003,-5.85733333333333
AMIENS STREET - 69 Amiens Street,5,53.8202999999999,-6.15853333333333
ANGLESEA ROAD - Pembroke Library,1,53.5351999999999,-6.07933333333333
"ANNE STREET SOUTH - Sheridans, 11 Anne Street South",4,53.67295,-6.20836666666666
ARBOUR HILL - Arbour Hill Prison,4,53.76305,-6.34027999999999
ARD RIGH ROAD - Irish United Nations Veteran's Association Memorial,0,53.7808499999999,-6.32966666666666
ARMAGH ROAD - Scoil Ãšna Naofa,3,53.4357,-6.41639999999999
"ASHTOWN GROVE - Post Office, 23 Ashtown Grove",4,53.98948,-6.49883333333333
"ASHTOWN GROVE - Spar, 33 Ashtown Grove",4,53.99188,-6.50213333333333
"ASTON QUAY - Opposite Supervalu, 14-18 Aston Quay",4,53.73464,-6.21553999999999
"BACHELORS WALK - Sugar Sisters, 3/4 Bachelors Walk",4,53.73564,-6.22522
"BAGGOT STREET LOWER - International Organisation for Migration, 116 Baggot Street Lower",4,53.6288199999999,-6.16584666666666
"BAGGOT STREET UPPER - Rocket's Diner, 33 Baggot Street Upper",5,53.5881,-6.13813333333333
"BAGGOT STREET UPPER - Rocket's Diner, 33 Baggot Street Upper",0,53.5884,-6.13846666666666
BAGGOT STREET UPPER - Former Royal City of Dublin Hospital,2,53.59209,-6.14019999999999
BAGGOT STREET UPPER - Former Royal City of Dublin Hospital,4,53.5924,-6.14053333333333
"BALLYFERMOT ROAD - Ferrys Solicitors, 345 Ballyfermot Road",0,53.6724199999999,-6.64369333333333
BALLYMUN ROAD - Ballymun Civic Centre,1,54.27749,-6.23964666666666
BALLYMUN ROAD - Ballymun Civic Centre,5,54.2769,-6.23966666666666
BALLYMUN ROAD - Ballymun Library,0,54.2208,-6.24153333333333
BALLYMUN ROAD - Ballymun Library,5,54.2215999999999,-6.24133333333333
"BALLYMUN ROAD - Chambers Pharmacy, 127 Ballymun Road",2,54.1652199999999,-6.24408666666667
"BARROW STREET - Tots & Co Creche, 8 Barrow Street",5,53.6703,-6.10666666666666
BASIN VIEW - Canal Way Educate Together National School,0,53.65514,-6.34349333333333
"BATH STREET - Canton House Takeaway, 2 Bath Street",1,53.66453,-6.04897999999999
BEECHWOOD AVENUE LOWER - Opposite Ulster Bank,4,53.4888199999999,-6.18017999999999
BEECHWOOD AVENUE LOWER - Opposite Ulster Bank,0,53.48845,-6.18031333333333
BELVEDERE ROAD - 15 Belvedere Road,5,53.88321,-6.21259333333333
"BENSON STREET - Spaces, Block C, Butlers Court",3,53.72328,-6.09397333333333
"BENSON STREET - Spaces, Block C, Butlers Court",5,53.7238099999999,-6.09393333333333
BISHOP STREET - Opposite The National Archives,4,53.6415499999999,-6.23936666666666
BISHOP STREET - Junction with Aungier Street,1,53.6411199999999,-6.25045333333333
"BLACKPITTS - Diatec Digital, 1 Blackpitts",2,53.6235499999999,-6.27777333333333
BLUEBELL ROAD - Bluebell Community Centre,0,53.5660099999999,-6.54583333333333
BLUEBELL ROAD - Bluebell Community Centre,2,53.56625,-6.54546
BLUEBELL ROAD - Bluebell Community Centre,0,53.5665,-6.54506666666666
BOW LANE EAST - Beaux Lane House,0,53.65884,-6.23107999999999
BOW STREET - Jameson Distillery,4,53.7492199999999,-6.28734666666666
BUCKINGHAM STREET LOWER - Fire Station Artists Studios,5,53.81353,-6.16668666666667
"BUCKINGHAM STREET UPPER - Opposite JCs Hair and Make Up, 20B Buckingham Street Upper",1,53.82459,-6.16939999999999
BULFIN ROAD - St. Michael's Church,0,53.6504699999999,-6.45839999999999
BULFIN ROAD - St. Michael's Church,5,53.65099,-6.45854666666666
BURGH QUAY - Adjacent Rosie Hackett Bridge,4,53.7425499999999,-6.20309333333333
BURLINGTON ROAD - Opposite Mespil Hotel,3,53.5873,-6.15379999999999
BURLINGTON ROAD - Opposite 30 Burlington Road,4,53.5543,-6.15486666666666
BURLINGTON ROAD - Adjacent to Mespil Hotel,1,53.5843,-6.15216666666666
BURLINGTON ROAD - Junction with Waterloo Road,0,53.5667,-6.14113333333333
"CABRA ROAD - AIB Bank, 93 Cabra Road",4,53.89294,-6.32027999999999
CABRA ROAD - 75 Cabra Road,3,53.8915699999999,-6.31441333333333
CABRA ROAD - 30 Cabra Road,3,53.8901099999999,-6.30339333333333
"CABRA ROAD - Mr Green Fresh Food, 111 Cabra Road",4,53.89333,-6.32741333333333
"CAPEL STREET - Sweetastes, 132 Capel Street",2,53.7512099999999,-6.25201333333333
"CAPEL STREET - Gateway House, 133 Capel street",1,53.75069,-6.25192
CAPEL STREET - Junction with Little Britain Street,0,53.7649699999999,-6.25386666666666
CARDIFF LANE - Clayton Hotel,3,53.7215999999999,-6.12707333333333
CARDIFF LANE - Clayton Hotel,5,53.7221999999999,-6.12706
CARLINGFORD ROAD - Junction with Drumcondra Road Lower,3,53.95254,-6.1991
CARNDONAGH LAWN - Howth Junction Dart Station,3,54.2520199999999,-5.76009333333333
CASINO PARK - Junction with Malahide Road,2,54.02598,-6.05272666666666
CASINO PARK - Junction with Malahide Road,3,54.0258099999999,-6.05252
CASTLE STREET - Dublin Castle Entrance Gate,4,53.70099,-6.24687333333333
